id,type,category,subcategory,tags,file,class
2703,"{'id': 20, 'name': 'Showcase & Finals'}","{'id': 133, 'name': 'Installations', 'type': {'id': 20, 'name': 'Showcase & Finals'}}",,"['2022', 'doha', 'fan', 'fifa', 'fooball', 'qatar', 'zone']",data/bf0d8c12-950b-4760-8deb-3a562cd7fe5b.jpg,0
3337,"{'id': 2, 'name': 'Textures'}","{'id': 175, 'name': 'cyber', 'type': {'id': 2, 'name': 'Textures'}}",,"['cyber', 'cyberpunk', 'neon', 'pixel', 'sign']",data/021d56b2-305b-443a-b45b-17ca7eafc3e9.jpg,0
2974,"{'id': 1, 'name': '3D Models'}","{'id': 4, 'name': 'Buildings', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 51, 'name': 'Destroyed', 'category': {'id': 4, 'name': 'Buildings', 'type': {'id': 1, 'name': '3D Models'}}}","['castle', 'ruine', 'stone', 'wall']",data/9c3909df-21d4-4e84-805d-ade67f2df990.png,0
1207,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 149, 'name': 'Lamps', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['lamps', 'red', 'round', 'studios']",data/cd06f94b-179e-4634-87eb-d1b77cd06bfe.jpg,0
1151,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 148, 'name': 'Softbox', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['rectangle', 'softbox', 'studios', 'warm']",data/e0734308-0fe8-4145-a968-17039966b48c.jpg,0
1161,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 149, 'name': 'Lamps', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['lamps', 'rectangle', 'red', 'studios']",data/23d96eff-3fe0-4c57-8617-ad2a3f8aa878.jpg,0
352,"{'id': 1, 'name': '3D Models'}","{'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 1, 'name': 'Cars', 'category': {'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}}","['mclaren', 's-class', 'sportcar', 's-segment', 'supercar']",data/3b63ba38-56ed-4429-bc9a-0f43096fd2c5.png,2
2635,"{'id': 1, 'name': '3D Models'}","{'id': 146, 'name': 'Architecture', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 167, 'name': 'Russian', 'category': {'id': 146, 'name': 'Architecture', 'type': {'id': 1, 'name': '3D Models'}}}","['moscow', 'ostozhenka', 'restaurant', 'russia', 'tiflis']",data/c7e3c423-aabe-41a2-9d20-d58e47875a2e.png,0
572,"{'id': 3, 'name': 'HDRI'}","{'id': 29, 'name': 'Indoor', 'type': {'id': 3, 'name': 'HDRI'}}",,"['architecture', 'building', 'indoor', 'medium_contrast', 'morning/afternoon', 'natural_light', 'parking', 'sun', 'sun_rays', 'urban']",data/d1197ad4-e55b-44a7-a27c-ae7ea1b55afa.png,0
1259,"{'id': 4, 'name': 'Footages'}","{'id': 113, 'name': 'Space', 'type': {'id': 4, 'name': 'Footages'}}",,"['cosmos', 'crater', 'moon', 'satellite', 'solar_system', 'space', 'stars']",data/3127d08d-6a58-4748-afe1-a417b9ec15ad.jpg,0
2206,"{'id': 1, 'name': '3D Models'}","{'id': 13, 'name': 'Kitbash', 'type': {'id': 1, 'name': '3D Models'}}",,"['armor', 'body', 'bulgarov', 'cyborg', 'kitbash', 'mech', 'robotics', 'sci-fi', 'shell']",data/5bffef13-6108-4f80-9fe5-080de9cd23e3.png,0
3248,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 93, 'name': 'Grass', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['forest', 'grass', 'meadow', 'nature', 'plants', 'swamp']",data/d6d7c349-d583-4c02-984a-16febe1cb9a7.png,1
3043,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 90, 'name': 'Trees', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['jungle', 'leaf', 'outdoor', 'palm', 'plants', 'tree', 'tropic']",data/c430a223-7067-4d80-a252-7bd58dca0a7e.png,1
2047,"{'id': 1, 'name': '3D Models'}","{'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 36, 'name': 'Business People', 'category': {'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}}","['body_scan', 'business', 'human', 'men', 'office', 'smartphone']",data/62edd4b8-dada-4aeb-99d1-c4ad79ac4f3c.png,0
1883,"{'id': 4, 'name': 'Footages'}","{'id': 41, 'name': 'Other', 'type': {'id': 4, 'name': 'Footages'}}",,"['ammo', 'ammunition', 'bullet', 'cartridge', 'case', 'gun', 'military', 'shell', 'shot', 'weapon']",data/736b454c-a23a-4876-9321-57d7301e1b1a.jpg,0
2044,"{'id': 1, 'name': '3D Models'}","{'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 36, 'name': 'Business People', 'category': {'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}}","['body_scan', 'business', 'human', 'men', 'office', 'smartphone']",data/5aba5534-b850-466d-b14a-0900d1bf4ad6.png,0
1189,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 148, 'name': 'Softbox', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['cold', 'cyan', 'round', 'softbox', 'studios']",data/42343850-752b-4295-b3c1-8df461e9405e.jpg,0
1493,"{'id': 4, 'name': 'Footages'}","{'id': 115, 'name': 'Splashes', 'type': {'id': 4, 'name': 'Footages'}}",,"['blood', 'burst', 'carnage', 'horror', 'massacre', 'red', 'splash', 'splatter']",data/d5b7b2c6-86ce-4e81-aa88-db86dc762d90.jpg,0
1609,"{'id': 4, 'name': 'Footages'}","{'id': 116, 'name': 'Dust', 'type': {'id': 4, 'name': 'Footages'}}",,"['burst', 'dust', 'explosion', 'sand']",data/7f017c74-1f80-4f42-8c5b-3ca876ebca1a.jpg,0
2854,"{'id': 1, 'name': '3D Models'}","{'id': 5, 'name': 'Outdoor', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 63, 'name': 'Megapolis', 'category': {'id': 5, 'name': 'Outdoor', 'type': {'id': 1, 'name': '3D Models'}}}","['bicycle_parking', 'bike', 'city', 'outdoor', 'street', 'transportation']",data/32c6b1d5-9228-4eed-8374-b0aa9cdba0e2.png,0
3158,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 92, 'name': 'Flowers', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['flowers', 'grass', 'meadow', 'nature', 'plants']",data/3b300836-d341-40b4-88bf-ee2743467a4c.png,1
489,"{'id': 1, 'name': '3D Models'}","{'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 1, 'name': 'Cars', 'category': {'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}}","['pickup_truck', 'toyota']",data/057b8961-6d75-4f26-9a31-46a966d011bf.png,2
1819,"{'id': 4, 'name': 'Footages'}","{'id': 39, 'name': 'Sparks', 'type': {'id': 4, 'name': 'Footages'}}",,"['blast', 'explosion', 'flash', 'sparks']",data/8aa895bc-fa28-4533-b5e8-a14e67752282.jpg,0
3254,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 93, 'name': 'Grass', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['flowers', 'forest', 'grass', 'meadow', 'nature', 'plants', 'swamp']",data/6fbe222a-6753-4ff9-a4fd-40194c255339.png,1
579,"{'id': 3, 'name': 'HDRI'}","{'id': 30, 'name': 'Outdoor', 'type': {'id': 3, 'name': 'HDRI'}}",,"['architecture', 'city', 'grass', 'high-contrast', 'megapolis', 'morning/afternoon', 'outdoor', 'park', 'sun', 'sun_rays', 'urban']",data/4b24172d-4407-4014-bf2f-7dc26a1c5aca.jpg,0
2396,"{'id': 19, 'name': 'VJ Loops'}","{'id': 126, 'name': 'Simulation', 'type': {'id': 19, 'name': 'VJ Loops'}}","{'id': 153, 'name': 'Water', 'category': {'id': 126, 'name': 'Simulation', 'type': {'id': 19, 'name': 'VJ Loops'}}}","['chromatic_aberration', 'liquid', 'simulation', 'water']",data/408a8ddf-fdb9-4cc9-b167-25a10bd7999b.png,0
3229,"{'id': 4, 'name': 'Footages'}","{'id': 101, 'name': 'Particles', 'type': {'id': 4, 'name': 'Footages'}}",,"['dirt', 'dust', 'element', 'explosion', 'particles', 'sand']",data/ef1d93a2-1dcf-448b-9ede-77924cd64bb3.jpg,0
1247,"{'id': 1, 'name': '3D Models'}","{'id': 14, 'name': 'Creatures', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 111, 'name': 'Birds', 'category': {'id': 14, 'name': 'Creatures', 'type': {'id': 1, 'name': '3D Models'}}}","['bird', 'flight', 'fly', 'flying', 'ocean', 'rig', 'sea', 'seagull', 'whitebird']",data/d4b4d3f1-af3a-46cc-a7e7-ed31836c90c4.png,0
153,"{'id': 4, 'name': 'Footages'}","{'id': 101, 'name': 'Particles', 'type': {'id': 4, 'name': 'Footages'}}",,"['celebration', 'disney', 'finale', 'fireworks', 'trans']",data/a8283e32-6a0e-41c2-86c7-efdc729b0a79.jpg,0
688,"{'id': 3, 'name': 'HDRI'}","{'id': 28, 'name': 'Studios', 'type': {'id': 3, 'name': 'HDRI'}}",,"['cold', 'high-contrast', 'lamp', 'studio']",data/81566511-3d0a-4003-91a7-971b13543381.png,0
835,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 149, 'name': 'Lamps', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['lamp', 'studios', 'warm']",data/01a6b7da-4539-47f9-836d-d36619b47241.png,0
2831,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 98, 'name': 'Home', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['camomile', 'decor', 'flowers', 'plants', 'vase']",data/6a645f50-dbd9-41ea-8e60-f983a0d6a299.png,1
1732,"{'id': 4, 'name': 'Footages'}","{'id': 36, 'name': 'Debris', 'type': {'id': 4, 'name': 'Footages'}}",,"['breaking', 'broken', 'crack', 'debris', 'glass', 'hit', 'shot', 'throw']",data/cd35cac8-4c88-4533-8488-e8681404236c.jpg,0
2131,"{'id': 1, 'name': '3D Models'}","{'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 27, 'name': 'Men HiRes', 'category': {'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}}","['conversation', 'human', 'selfie', 'smartphone', 'talking', 'woman', 'women']",data/b33bae7e-8907-457c-9de7-ee4845da280d.png,0
448,"{'id': 1, 'name': '3D Models'}","{'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 1, 'name': 'Cars', 'category': {'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}}","['coupe', 'porsche', 'sportcar', 's-segment']",data/839df7e1-da68-4a28-96ff-67e4aee3e3a2.png,2
963,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 149, 'name': 'Lamps', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['cold', 'lamps', 'led', 'studios']",data/f8d5c0f0-a572-4115-8c92-07aea6d638fc.jpg,0
1491,"{'id': 4, 'name': 'Footages'}","{'id': 115, 'name': 'Splashes', 'type': {'id': 4, 'name': 'Footages'}}",,"['blood', 'burst', 'carnage', 'horror', 'massacre', 'red', 'splash', 'splatter']",data/621f78f2-23b5-4d01-a98c-355e2a886db6.jpg,0
3421,"{'id': 4, 'name': 'Footages'}","{'id': 171, 'name': 'People', 'type': {'id': 4, 'name': 'Footages'}}",,['new_year'],data/f84a26ee-f76a-4ffe-bb41-038a25adb600.jpg,0
2332,"{'id': 19, 'name': 'VJ Loops'}","{'id': 117, 'name': 'Noises', 'type': {'id': 19, 'name': 'VJ Loops'}}",,"['checker', 'lines', 'noise']",data/b079c7d7-9f41-48eb-94db-27fac2cbeac2.png,0
1249,"{'id': 1, 'name': '3D Models'}","{'id': 12, 'name': 'Space', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 100, 'name': 'Space Stations', 'category': {'id': 12, 'name': 'Space', 'type': {'id': 1, 'name': '3D Models'}}}","['international', 'iss', 'nasa', 'orbit', 'satellite', 'space', 'spacestation']",data/cc44281a-e0f1-41e5-82ee-c07b5997f952.png,0
1170,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 149, 'name': 'Lamps', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['lamps', 'round', 'studios', 'warm']",data/17122fd1-b31e-4be8-94d2-bb6f32e7f3dc.jpg,0
1620,"{'id': 4, 'name': 'Footages'}","{'id': 114, 'name': 'Explosions', 'type': {'id': 4, 'name': 'Footages'}}",,"['burn', 'explosion', 'fire', 'flame']",data/5910fb4f-7295-4a3a-ae38-08cd80a6ec9f.jpg,0
2510,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 90, 'name': 'Trees', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['garden', 'nature', 'park', 'plant', 'trees']",data/69b40b61-e308-428e-a06b-b7b88f7f9e9e.png,1
2046,"{'id': 1, 'name': '3D Models'}","{'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 36, 'name': 'Business People', 'category': {'id': 3, 'name': 'Human', 'type': {'id': 1, 'name': '3D Models'}}}","['body_scan', 'business', 'human', 'men', 'office', 'smartphone']",data/347889eb-2fe5-43fa-ac4b-f396b24ef917.png,0
1053,"{'id': 3, 'name': 'HDRI'}","{'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}","{'id': 149, 'name': 'Lamps', 'category': {'id': 112, 'name': 'Light Textures', 'type': {'id': 3, 'name': 'HDRI'}}}","['cold', 'lamps', 'studios']",data/d87816a1-9174-485d-827c-eb68000a8450.jpg,0
2890,"{'id': 1, 'name': '3D Models'}","{'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 93, 'name': 'Grass', 'category': {'id': 11, 'name': 'Plants', 'type': {'id': 1, 'name': '3D Models'}}}","['cereal', 'crops', 'grass', 'leaf', 'meadow', 'nature', 'plants']",data/f3419907-59c8-46a7-8b13-9700ceee310e.png,1
1267,"{'id': 4, 'name': 'Footages'}","{'id': 41, 'name': 'Other', 'type': {'id': 4, 'name': 'Footages'}}",,"['city', 'clouds', 'moon', 'night', 'stars']",data/aa11bef0-c315-462f-be59-52b7e1009572.jpg,0
396,"{'id': 1, 'name': '3D Models'}","{'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}","{'id': 1, 'name': 'Cars', 'category': {'id': 1, 'name': 'Vehicles', 'type': {'id': 1, 'name': '3D Models'}}}","['coupe', 'nissan', 'sportcar', 's-segment']",data/a2db8b95-257d-4bc4-bb83-60e026979590.png,2
738,"{'id': 3, 'name': 'HDRI'}","{'id': 28, 'name': 'Studios', 'type': {'id': 3, 'name': 'HDRI'}}",,"['lamps', 'medium_contrast', 'studios', 'umbrella', 'warm']",data/a64e8d7a-40f5-4001-8612-96408e0b8ecb.png,0
1601,"{'id': 4, 'name': 'Footages'}","{'id': 36, 'name': 'Debris', 'type': {'id': 4, 'name': 'Footages'}}",,"['breaking', 'crush', 'debris', 'explosion', 'rock', 'shatter']",data/9b13678c-e6b5-42e9-b5fe-185b6b2543a0.jpg,0
1981,"{'id': 19, 'name': 'VJ Loops'}","{'id': 119, 'name': 'Abstract', 'type': {'id': 19, 'name': 'VJ Loops'}}",,"['2d', 'gradient', 'landscape', 'mountains', 'neon']",data/8e71311f-47e4-4f3d-a679-0b7f43502e50.jpg,0
1332,"{'id': 11, 'name': 'Setups'}","{'id': 82, 'name': 'Stages', 'type': {'id': 11, 'name': 'Setups'}}",,"['2016', 'moscow', 'stages']",data/d095de56-5035-4a81-8fcb-1b2f62dc943a.jpg,0
